arch,fold,epochs_trained,best_val_accuracy,test_accuracy,test_auc,elapsed_sec
resnet50,1,8,0.9598715901374817,0.9581818181818181,0.986681479718023,512.3362972736359
resnet50,2,21,0.971107542514801,0.9581818181818181,0.9881627848536549,1499.2642488479614
resnet50,3,22,0.9807074069976807,0.9545454545454546,0.989842479069952,2328.2511689662933
resnet50,4,15,0.9774919748306274,0.9563636363636364,0.9903186128635479,987.3600089550018
resnet50,5,25,0.9758842587471008,0.9545454545454546,0.989987964395773,1801.3740389347076
