model,T,deterministic_accuracy,deterministic_auc,deterministic_ece,mc_accuracy,mc_auc,mc_ece,mean_std_correct,mean_std_wrong,rc_acc_at_90pct_pred_entropy,rc_acc_at_50pct_pred_entropy
cnn_mcd,30,0.9072727272727272,0.9675170945257839,0.03627070264382795,0.9109090909090909,0.96772870954516,0.03866390986876054,0.0435611866414547,0.07206255197525024,0.9434343434343434,0.9890909090909091
resnet50_mcd,30,0.9618181818181818,0.989088600563425,0.020407768596302375,0.9618181818181818,0.988242140485921,0.02427602377804846,0.043078478425741196,0.1301060914993286,0.9777777777777777,0.9927272727272727
