coverage,accuracy
0.5,0.9927272727272727
0.55,0.9933774834437086
0.6,0.9939393939393939
0.65,0.9888268156424581
0.7,0.9844155844155844
0.75,0.9805825242718447
0.8,0.9772727272727273
0.8500000000000001,0.9764957264957265
0.9,0.9777777777777777
0.95,0.9731800766283525
1.0,0.9654545454545455
