model,test_accuracy,test_acc_ci_lo,test_acc_ci_hi,test_auc,ece_raw,mce_raw,temperature,ece_after_temp_scale,ece_improvement
ResNet50,0.9527272727272728,0.9345454545454546,0.9709090909090909,0.98875795209565,0.019880563887682817,0.3515326976776123,1.1909801655034613,0.018230151371522372,0.0016504125161604447
Xception,0.9545454545454546,0.9381818181818182,0.9709090909090909,0.985226626459813,0.01737872437997301,0.5766704082489014,1.1578706553614149,0.022375366037542185,-0.004996641657569176
DenseNet121,0.9563636363636364,0.94,0.9727272727272728,0.991892499570157,0.028839582638307038,0.4469645619392395,1.0320725792282177,0.026878797791220953,0.0019607848470860854
VGG16,0.9563636363636364,0.94,0.9727272727272728,0.9899615125183511,0.025508584000847517,0.7397164106369019,1.4445608691136913,0.015336598049510574,0.010171985951336943
CNN,0.96,0.9436363636363636,0.9745454545454545,0.986655027840601,0.03171515074643218,0.4229274392127991,0.9995406471270605,0.03171281543644988,2.335309982295919e-06
CNN (Tanh+ReLU),0.9290909090909091,0.9072272727272727,0.9491363636363636,0.969858085677631,0.04602093729105864,0.38711945215861004,1.2067643243429298,0.04145615642721001,0.004564780863848629
