score,target_coverage,qhat,coverage,mean_size,set_size_distribution,conditional_coverage
lac,0.9,0.8000782132148743,0.8963636363636364,1.481818181818182,"{1: 342, 2: 152, 3: 55, 4: 1}","[0.974169741697417, 0.7142857142857143, 0.8733333333333333, 0.7586206896551724, 0.8181818181818182]"
aps,0.9,0.8895393122574456,0.8945454545454545,1.798181818181818,"{1: 234, 3: 151, 2: 139, 0: 20, 4: 6}","[0.9077490774907749, 0.8214285714285714, 0.8866666666666667, 0.896551724137931, 0.9318181818181818]"
lac,0.95,0.9118884801864624,0.9727272727272728,2.0436363636363635,"{1: 256, 3: 191, 2: 59, 4: 43, 5: 1}","[0.985239852398524, 0.9107142857142857, 0.9666666666666667, 0.9655172413793104, 1.0]"
aps,0.95,0.9419084016866203,0.9436363636363636,2.1363636363636362,"{1: 218, 3: 187, 2: 76, 4: 61, 0: 8}","[0.955719557195572, 0.875, 0.9466666666666667, 0.896551724137931, 0.9772727272727273]"
