score,target_coverage,qhat,coverage,mean_size,set_size_distribution,conditional_coverage
lac,0.9,0.8769326210021973,0.9090909090909091,2.1836363636363636,"{1: 236, 3: 118, 2: 94, 4: 87, 5: 15}","[0.977859778597786, 0.9107142857142857, 0.82, 0.8620689655172413, 0.8181818181818182]"
aps,0.9,0.9141475268015887,0.8981818181818182,2.3381818181818184,"{1: 172, 3: 181, 2: 92, 4: 83, 5: 11, 0: 11}","[0.9372693726937269, 0.9107142857142857, 0.86, 0.8620689655172413, 0.7954545454545454]"
lac,0.95,0.9175963401794434,0.9490909090909091,2.5345454545454547,"{1: 210, 4: 148, 3: 85, 2: 66, 5: 41}","[0.977859778597786, 0.9107142857142857, 0.9333333333333333, 0.9310344827586207, 0.8863636363636364]"
aps,0.95,0.9670665796414126,0.9545454545454546,2.910909090909091,"{1: 107, 3: 151, 4: 173, 2: 77, 5: 39, 0: 3}","[0.9630996309963099, 0.9464285714285714, 0.96, 0.9655172413793104, 0.8863636363636364]"
