model,class,support,precision,recall,f1
cnn_5class,No DR,271,0.9166666666666666,0.933579335793358,0.9250457038391224
cnn_5class,Mild,56,0.3490566037735849,0.6607142857142857,0.4567901234567901
cnn_5class,Moderate,150,0.6911764705882353,0.31333333333333335,0.43119266055045874
cnn_5class,Severe,29,0.22448979591836735,0.3793103448275862,0.28205128205128205
cnn_5class,PDR,44,0.09803921568627451,0.11363636363636363,0.10526315789473684
