model,class,support,precision,recall,f1
resnet50_5class,No DR,271,0.9563636363636364,0.9704797047970479,0.9633699633699634
resnet50_5class,Mild,56,0.675,0.48214285714285715,0.5625
resnet50_5class,Moderate,150,0.6778523489932886,0.6733333333333333,0.6755852842809364
resnet50_5class,Severe,29,0.36666666666666664,0.3793103448275862,0.3728813559322034
resnet50_5class,PDR,44,0.39285714285714285,0.5,0.44
